"Country Name","Baseline","Current"
"Afghanistan","1960","1940"
"Angola","7000","6580"
"Albania","10400","9930"
"Arab World","16141.5602516837","15846.498202267"
"Armenia","8180","7740"
"Antigua and Barbuda","20490","20060"
"Australia","42450","41570"
"Austria","45450","45110"
"Azerbaijan","16180","14870"
"Burundi","770","750"
"Belgium","41240","41800"
"Benin","1780","1700"
"Burkina Faso","1440","1480"
"Bangladesh","3190","3010"
"Bulgaria","15210","15160"
"Bahamas, The","22700","22490"
"Bosnia and Herzegovina","9660","9440"
"Belarus","16950","16810"
"Belize","7870","7790"
"Bolivia","5750","5410"
"Brazil","14750","14350"
"Bhutan","6920","6700"
"Botswana","15640","14820"
"Central African Republic","600","950"
"Canada","42610","41170"
"Central Europe and the Baltics","22099.3618402414","21308.9597846203"
"Switzerland","59210","56120"
"Chile","21030","20140"
"China","11850","10920"
"Cote d'Ivoire","3090","2880"
"Cameroon","2770","2660"
"Congo, Rep.","4600","4420"
"Colombia","11960","11360"
"Comoros","1490","1460"
"Cabo Verde","6210","6090"
"Costa Rica","13570","13150"
"Caribbean small states","13649.5235101494","13332.2773756426"
"Cyprus","27630","28850"
"Czech Republic","26740","26610"
"Germany","45620","44310"
"Dominica","10060","9970"
"Denmark","44950","43890"
"Dominican Republic","11630","11190"
"Algeria","13070","12860"
"East Asia & Pacific (developing only)","10728.2998369213","9976.0890854118"
"East Asia & Pacific (all income levels)","13780.0814352678","12980.1627040495"
"Europe & Central Asia (developing only)","13705.9234499048","13070.0737423534"
"Europe & Central Asia (all income levels)","28016.4978608323","27300.8361363584"
"Ecuador","10720","10260"
"Egypt, Arab Rep.","10790","10610"
"Euro area","38316.5576152079","37633.5928346807"
"Eritrea","1180","1190"
"Spain","32700","32030"
"Estonia","24570","22960"
"Ethiopia","1380","1260"
"European Union","35461.2974122281","34644.2258280491"
"Fragile and conflict affected situations","3689.8072096725","3626.6512612653"
"Finland","39930","39930"
"Fiji","7590","7160"
"France","38530","37690"
"Micronesia, Fed. Sts.","3680","3670"
"Gabon","17230","16500"
"United Kingdom","38160","36830"
"Georgia","7040","6760"
"Ghana","3900","3540"
"Guinea","1160","1140"
"Gambia, The","1610","1560"
"Guinea-Bissau","1410","1410"
"Equatorial Guinea","23270","24660"
"Greece","25700","25750"
"Grenada","11230","10770"
"Guatemala","7130","6930"
"Guyana","6610","6210"
"High income","40790.2076796816","39686.9887441102"
"Hong Kong SAR, China","54270","51920"
"Honduras","4270","4190"
"Heavily indebted poor countries (HIPC)","1872.0451334799","1805.6717942606"
"Croatia","20830","20480"
"Haiti","1720","1650"
"Hungary","22800","21620"
"Indonesia","9270","8750"
"India","5350","5080"
"Ireland","39250","37380"
"Iran, Islamic Rep.","15610","16540"
"Iraq","14930","14570"
"Iceland","41160","36160"
"Israel","32140","30510"
"Italy","35540","35500"
"Jamaica","8490","8420"
"Jordan","11670","11400"
"Japan","37790","36540"
"Kazakhstan","20680","18870"
"Kenya","2780","2670"
"Kyrgyz Republic","3080","2850"
"Cambodia","2890","2710"
"Kiribati","2780","2660"
"St. Kitts and Nevis","20990","19790"
"Korea, Rep.","33440","32150"
"Kosovo","9090","8840"
"Latin America & Caribbean (developing only)","14204.1424255093","13777.8998598874"
"Lao PDR","4550","4170"
"Lebanon","17400","17090"
"Liberia","790","730"
"St. Lucia","10290","10180"
"Latin America & Caribbean (all income levels)","14570.675887732","14126.2087009981"
"Least developed countries: UN classification","2100.0504845429","2018.5600810528"
"Low income","1902.7084836576","1811.6124844385"
"Sri Lanka","9470","8830"
"Lower middle income","5965.941542225","5681.9251663063"
"Low & middle income","8439.1278485368","8034.0101565963"
"Lesotho","3160","2990"
"Lithuania","24550","23050"
"Luxembourg","57420","57980"
"Latvia","22510","21020"
"Morocco","7000","6670"
"Moldova","5180","4710"
"Madagascar","1370","1360"
"Maldives","9900","9310"
"Middle East & North Africa (all income levels)","17875.3586159524","17777.9007712433"
"Mexico","16110","15910"
"Marshall Islands","4630","4330"
"Middle income","9560.6919457685","9089.939392655"
"Macedonia, FYR","11520","11430"
"Mali","1540","1550"
"Malta","27030","26410"
"Montenegro","14410","13810"
"Mongolia","8810","7670"
"Mozambique","1100","1040"
"Mauritania","2850","2740"
"Mauritius","17220","16540"
"Malawi","750","730"
"Malaysia","22530","21460"
"North America","52645.2715343738","51127.3811819515"
"Namibia","9490","8890"
"Niger","890","890"
"Nigeria","5360","5130"
"Nicaragua","4510","4310"
"Netherlands","46400","45970"
"High income: nonOECD","35165.8973007561","34297.5088793679"
"Norway","66520","66220"
"Nepal","2260","2170"
"High income: OECD","42285.8045753213","41119.8881081679"
"OECD members","38200.4832563286","37174.167477499"
"Other small states","8820.4665541081","8548.4501483349"
"Pakistan","4840","4640"
"Panama","19300","16630"
"Peru","11160","10390"
"Philippines","7840","7310"
